Label_ID,Photo_Count,Label_Name
5360,2,Tim Curry
3434,29,Mahmoud Abbas
3807,1,Michel Charles Chretien
26,3,Abid Hamid Mahmud Al-Tikriti
3957,1,Mona Locke
439,1,Barbara Bodine
2683,1,John Baldacci
3734,1,Michael Andretti
5465,2,Tony Parker
3445,1,Mamdouh Habib
5156,1,Steve Shiver
5747,1,Zurab Tsereteli
2697,2,John Cusack
1929,1,Glenn Rivers
4207,4,Patricia Clarkson
5514,9,Vaclav Havel
2306,1,James Becker
5585,1,Wan Yanhai
4173,1,Ozzie Smith
5721,1,Zach Safrin
4686,1,Robert Gallo
904,5,Chen Shui-bian
2144,1,Hoda Asfor
2530,24,Jeremy Greenstock
5039,33,Silvio Berlusconi
1404,121,Donald Rumsfeld
818,2,Carson Daly
4057,37,Nestor Kirchner
1708,1,Filippo Volandri
3838,1,Miguel Hakim
2067,2,Hassan Wirajuda
2930,1,Julio Cesar Chavez
3582,2,Markus Naslund
4367,1,Peter Rasmussen
1746,1,Frank Hilldrup
2670,1,Joe Vandever
1803,2,Garry Trudeau
220,2,Amber Tamblyn
3526,2,Mario Dumont
3401,48,Luiz Inacio Lula da Silva
2690,2,John Brady
4484,1,Rahul Dravid
2506,21,Jennifer Aniston
1910,1,Gilberto Simoni
1895,8,Gerry Adams
1844,1,Geoffrey Rush
3328,1,Lindsay Lohan
2453,55,Jean Chretien
2947,8,Justin Timberlake
2771,1,John Starks
2721,19,John Howard
736,6,Bulent Ecevit
3906,1,Minnie Mendoza
2254,2,Iva Majoli
4773,32,Roh Moo-hyun
5,4,Aaron Peirsol
1871,530,George W Bush
1263,2,David Spade
207,1,Alonzo Mourning
2768,17,John Snow
3847,1,Mike Bryan
531,29,Bill Clinton
1043,9,Colin Farrell
4198,2,Pat Burns
4855,1,Ryan Leaf
1207,31,David Beckham
5192,2,Surakait Sathirathai
962,3,Christian Longo
3779,1,Michael Lopez-Alegria
2576,1,Jim Bunning
2477,12,Jeb Bush
1013,5,Clara Harris
239,8,Ana Palacio
491,1,Benjamin Bratt
1558,1,Elodie Bouchez
4403,15,Pierce Brosnan
2175,71,Hugo Chavez
3718,1,Melina Kanakaredes
5105,2,Stephen Ambrose
3160,1,Kyoko Nakayama
3100,11,Kim Ryong-sung
4744,3,Rod Stewart
5541,32,Vicente Fox
4789,8,Ron Dittemore
3091,14,Kim Clijsters
449,2,Barrett Jackman
4156,2,Orrin Hatch
5354,23,Tiger Woods
3763,1,Michael Haneke
3856,1,Mike Flanagan
5065,17,Spencer Abraham
5313,1,Thalia
974,4,Christine Gregoire
2857,5,Joseph Biden
2514,21,Jennifer Lopez
5692,4,Yevgeny Kafelnikov
1933,44,Gloria Macapagal Arroyo
2904,2,Judy Genshaft
4152,4,Oprah Winfrey
1047,236,Colin Powell
595,3,Bob Dole
1645,1,Eugene Melnyk
3421,1,Madge Overhouse
5458,144,Tony Blair
1842,7,Geoff Hoon
2762,2,John Rowland
5134,1,Steve Case
3207,4,Laura Linney
3971,2,Morgan Freeman
1314,5,Denzel Washington
4311,4,Pedro Solbes
2793,1,Johnny Hallyday
3508,3,Mariangel Ruiz Torrealba
473,1,Ben Betts
3842,1,Mika Hakkinen
1602,2,Eric Hinske
755,4,Candie Kung
1713,1,Florecita Cobian
2735,7,John Manley
5713,1,Yuri Luzhkov
2682,53,John Ashcroft
3918,1,Mitch Kupchak
3947,15,Mohammed Al-Douri
5548,5,Victoria Clarke
4203,1,Pat Summerall
3979,2,Muammar Gaddafi
3014,1,Keith Bishop Jr
4551,30,Recep Tayyip Erdogan
2510,12,Jennifer Garner
3061,1,Kevin Borseth
4598,1,Richard Hellfant
5402,1,Tom Coughlin
5016,8,Sheryl Crow
4487,5,Rainer Schuettler
238,1,Ana Isabel Sanchez
248,36,Andre Agassi
1854,13,George HW Bush
194,2,Alison Lohman
1924,4,Glafcos Clerides
2402,4,Janet Napolitano
1792,2,Gabriel Valdes
2570,20,Jiang Zemin
4089,19,Nicole Kidman
3383,13,Lucio Gutierrez
4273,9,Paul ONeill
3637,1,Mary Elizabeth Mastrantonio
4822,1,Roy Chaderton
4333,22,Pete Sampras
3983,1,Muhammad Ibrahim Bilal
199,2,Allen Iverson
4791,2,Ron Howard
33,1,Adam Kennedy
2396,1,Janela Jara
4327,18,Pervez Musharraf
4760,14,Roger Federer
3273,1,Leon Barmore
3311,2,Lily Tomlin
959,1,Christian Gimenez
560,15,Bill Simon
1122,1,Dan Kellner
675,1,Brian Billick
3135,1,Krishna Bhadur Mahara
4923,1,Satnarine Sharma
3359,1,Lonnie Donegan
3704,33,Megawati Sukarnoputri
3087,2,Kifah Ajouri
4560,1,Reinhard Buetikofer
4233,3,Patti Labelle
2725,17,John Kerry
659,1,Brandon Webb
2154,9,Hosni Mubarak
3982,10,Muhammad Ali
1103,1,Dai Chul Chyung
3737,20,Michael Bloomberg
2265,6,JK Rowling
2679,9,John Abizaid
5704,14,Yoriko Kawaguchi
1617,3,Erik Morales
5196,6,Susan Sarandon
3694,1,Max Biaggi
2634,1,Joao Rocha
4663,1,Robbie Coltrane
2276,28,Jack Straw
1642,1,Esther Macklin
5007,1,Sheikh Ahmed Yassin
2432,1,Jason Vale
4564,1,Rene Antonio Leon Rodriguez
679,1,Brian Cook
373,77,Ariel Sharon
1991,2,Guillaume Soro
280,1,Andy Bryant
2705,8,John Edwards
5662,1,Wolfgang Clement
3138,1,Kristen Rivera
3755,1,Michael Donovan
3071,1,Kevin Millwood
2673,2,Joerg Haider
341,1,Anthony Garotinho
1336,1,Diana Ross
